timestamp,value
1613128543.346, 3342589952
1613128563.346, 3342667776
1613128583.346, 3342704640
1613128603.346, 3341254656
1613128623.346, 3342680064
1613128643.346, 3342680064
1613128663.346, 3342520320
1613128683.346, 3342589952
1613128703.346, 3341709312
1613128723.346, 3342569472
1613128743.346, 3342438400
1613128763.346, 3342475264
1613128783.346, 3342475264
1613128803.346, 3342671872
1613128823.346, 3342741504
1613128843.346, 3342544896
1613128863.346, 3342528512
1613128883.346, 3342561280
1613128903.346, 3342565376
1613128923.346, 3342315520
1613128943.346, 3342381056
1613128963.346, 3342544896
1613128983.346, 3342614528
1613129003.346, 3342651392
1613129023.346, 3342487552
1613129043.346, 3341516800
1613129063.346, 3341684736
1613129083.346, 3341725696
1613129103.346, 3342774272
1613129123.346, 3341574144
1613129143.346, 3341737984
1613129163.346, 3342594048
1613129183.346, 3342626816
1613129203.346, 3342663680
1613129223.346, 3342499840
1613129243.346, 3341443072
1613129263.346, 3341918208
1613129283.346, 3342544896
1613129303.346, 3342655488
1613129323.346, 3342458880
1613129343.346, 3342548992
1613129363.346, 3342467072
1613129383.346, 3342503936
1613129403.346, 3342667776
1613129423.346, 3342700544
1613129443.346, 3342540800
1613129463.346, 3342483456
1613129483.346, 3342647296
1613129503.346, 3342680064
1613129523.346, 3342594048
1613129543.346, 3342434304
1613129563.346, 3342598144
1613129583.346, 3342635008
1613129603.346, 3342667776
1613129623.346, 3342577664
1613129643.346, 3342577664
1613129663.346, 3342610432
1613129683.346, 3342610432
1613129703.346, 3342553088
1613129723.346, 3342589952
1613129743.346, 3342622720
1613129763.346, 3342692352
1613129783.346, 3342532608
1613129803.346, 3342569472
1613129823.346, 3342606336
1613129843.346, 3342639104
1613129863.346, 3342643200
1613129883.346, 3342548992
1613129903.346, 3342581760
1613129923.346, 3342614528
1613129943.346, 3342651392
1613129963.346, 3341783040
1613129983.346, 3342721024
1613130003.346, 3341496320
1613130023.346, 3341213696
1613130043.346, 3342704640
1613130063.346, 3342610432
1613130083.346, 3342643200
1613130103.346, 3342680064
1613130123.346, 3342708736
1613130143.346, 3342749696
1613130163.346, 3342618624
1613130183.346, 3342655488
1613130203.346, 3342659584
1613130223.346, 3342692352
1613130243.346, 3342761984
1613130263.346, 3342794752
1613130283.346, 3342635008
1613130303.346, 3341705216
1613130323.346, 3342778368
1613130343.346, 3342815232
1613130363.346, 3342880768
1613130383.346, 3342688256
1613130403.346, 3342471168
1613130423.346, 3342540800
1613130443.346, 3342577664
1613130463.346, 3342610432
1613130483.346, 3341324288
1613130503.346, 3342487552
1613130523.346, 3342524416
1613130543.346, 3342594048
1613130563.346, 3342585856
1613130583.346, 3342630912
1613130603.346, 3342499840
1613130623.346, 3342536704
1613130643.346, 3342663680
1613130663.346, 3342639104
1613130683.346, 3342643200
1613130703.346, 3342675968
1613130723.346, 3342483456
1613130743.346, 3341762560
1613130763.346, 3342585856
1613130783.346, 3342659584
1613130803.346, 3342659584
1613130823.346, 3342499840
1613130843.346, 3342573568
1613130863.346, 3342684160
1613130883.346, 3342741504
1613130903.346, 3342782464
1613130923.346, 3342819328
1613130943.346, 3342528512
1613130963.346, 3342598144
1613130983.346, 3342598144
1613131003.346, 3342635008
1613131023.346, 3342610432
1613131043.346, 3342413824
1613131063.346, 3342446592
1613131083.346, 3342643200
1613131103.346, 3341225984
1613131123.346, 3342680064
1613131143.346, 3342749696
1613131163.346, 3341688832
1613131183.346, 3341119488
1613131203.346, 3341037568
1613131223.346, 3342516224
1613131243.346, 3342520320
1613131263.346, 3342589952
1613131283.346, 3342462976
1613131303.346, 3342528512
1613131323.346, 3342565376
1613131343.346, 3342602240
1613131363.346, 3342606336
1613131383.346, 3342479360
1613131403.346, 3342479360
1613131423.346, 3342516224
1613131443.346, 3342585856
1613131463.346, 3342491648
1613131483.346, 3342458880
1613131503.346, 3342528512
1613131523.346, 3342434304
1613131543.346, 3342540800
1613131563.346, 3342548992
1613131583.346, 3342356480
1613131603.346, 3342422016
1613131623.346, 3342458880
1613131643.346, 3342491648
1613131663.346, 3342528512
1613131683.346, 3342401536
1613131703.346, 3342344192
1613131723.346, 3341062144
1613131743.346, 3341377536
1613131763.346, 3342450688
1613131783.346, 3342516224
1613131803.346, 3342462976
1613131823.346, 3342499840
1613131843.346, 3342340096
1613131863.346, 3342471168
1613131883.346, 3342471168
1613131903.346, 3342544896
1613131923.346, 3342352384
1613131943.346, 3341258752
1613131963.346, 3341168640
1613131983.346, 3342393344
1613132003.346, 3342430208
1613132023.346, 3342430208
1613132043.346, 3342536704
1613132063.346, 3342540800
1613132083.346, 3342573568
1613132103.346, 3342483456
1613132123.346, 3341864960
1613132143.346, 3342589952
1613132163.346, 3342462976
1613132183.346, 3342495744
1613132203.346, 3342499840
1613132223.346, 3342602240
1613132243.346, 3342639104
1613132263.346, 3342544896
1613132283.346, 3342450688
1613132303.346, 3342528512
1613132323.346, 3342561280
1613132343.346, 3342438400
1613132363.346, 3342438400
1613132383.346, 3342708736
1613132403.346, 3341668352
1613132423.346, 3342581760
1613132443.346, 3342618624
1613132463.346, 3341676544
1613132483.346, 3342491648
1613132503.346, 3341746176
1613132523.346, 3342602240
1613132543.346, 3342442496
1613132563.346, 3342508032
1613132583.346, 3340513280
1613132603.346, 3342446592
1613132623.346, 3342483456
1613132643.346, 3342520320
1613132663.346, 3342585856
1613132683.346, 3341844480
1613132703.346, 3342471168
1613132723.346, 3342540800
1613132743.346, 3342573568
1613132763.346, 3341864960
1613132783.346, 3342483456
1613132803.346, 3341262848
1613132823.346, 3342462976
1613132843.346, 3341111296
1613132863.346, 3342573568
1613132883.346, 3342573568
1613132903.346, 3341828096
1613132923.346, 3342639104
1613132943.346, 3341930496
1613132963.346, 3340492800
1613132983.346, 3342606336
1613133003.346, 3342569472
1613133023.346, 3341963264
1613133043.346, 3342442496
1613133063.346, 3342548992
1613133083.346, 3342581760
1613133103.346, 3342462976
1613133123.346, 3342532608
1613133143.346, 3342569472
1613133163.346, 3342635008
1613133183.346, 3342475264
1613133203.346, 3342516224
1613133223.346, 3341336576
1613133243.346, 3342528512
1613133263.346, 3342561280
1613133283.346, 3342516224
1613133303.346, 3339558912
1613133323.346, 3342655488
1613133343.346, 3341914112
1613133363.346, 3341156352
1613133383.346, 3342602240
1613133403.346, 3341889536
1613133423.346, 3342548992
1613133443.346, 3342585856
1613133463.346, 3341209600
